id,nom,insee,adresse,url,type_usagers,gratuit,nb_places,nb_pr,nb_pmr,nb_voitures_electriques,nb_velo,nb_2r_el,nb_autopartage,nb_2_rm,nb_covoit,hauteur_max,num_siret,Xlong,Ylat,tarif_pmr,tarif_1h,tarif_2h,tarif_3h,tarif_4h,tarif_24h,abo_resident,abo_non_resident,type_ouvrage,info,id_source
04070-P-001,Parking Gassendi,04070,Place Général de Gaulle,,tous,0,222,,6,,,,0,,,200,21040070100012,6.2366534,44.0932836,,,,,,,,,ouvrage,En travaux en 2020,
06027-P-001,PLANASTEL,06027,12 rue du château. 06800. Cagnes-sur-Mer,http://niceazurparking.fr/,tous,0,158,0,0,0,0,0,0,0,0,180,83187208000013,7.145722,43.668532,normal_payant,2.00,3.60,5.20,6.80,27.20,70.7,116.9,ouvrage,,
06027-P-002,MATTEI,06027,Passage de la Grève. 06800. Cagnes-sur-Mer,,tous,0,62,0,3,2,0,0,0,0,0,190,82158472900023,7.16657,43.657963,normal_payant,1.60,2.90,4.10,5.50,15.20,,,enclos_en_surface,Pas d'abonnement mensuel. uniquement annuel (résidentiel et professionnel).,
06027-P-003,RENOIR,06027,38 avenue Auguste Renoir. 06800. Cagnes-sur-Mer,,abonnés,0,47,0,2,0,0,0,0,0,0,N/A,82158472900023,7.152723,43.664773,normal_payant,,,,,,,,enclos_en_surface,Pas d'abonnement mensuel. uniquement annuel (résidentiel et professionnel). ,
06088-P-001,CORVESY,06088,3 rue Alexandre Mari. 06000. Nice,http://niceazurparking.fr/,tous,0,329,0,7,0,0,0,0,0,0,190,83187208000013,7.272111,43.696645,normal_payant,0.00,4.20,5.80,7.40,23.90,,155.8,ouvrage,,
06088-P-002,PALAIS MASSENA,06088,29 promenade des anglais. 06000. Nice,http://niceazurparking.fr/,tous,0,247,0,6,0,0,0,0,0,0,190,83187208000013,7.259372,43.695434,normal_payant,0.00,,5.80,7.40,23.90,,155.8,ouvrage,Le parc comporte également 113 places non accessibles aux usagers horaires ou abonnés. le parc comporte également 113 places non accessibles aux usagers horaires ou abonnés,
06088-P-003,VALOMBROSE,06088,27 avenue Valombrose. 06000. Nice,http://niceazurparking.fr/,tous,0,222,0,4,0,0,0,0,0,0,190,83187208000013,7.279781,43.725364,normal_payant,2.10,4.20,4.60,4.60,23.90,,52,ouvrage,,
06088-P-004,PROMENADE DES ARTS,06088,18 avenue St-Jean-Baptiste. 06000. Nice,http://niceazurparking.fr/,tous,0,322,0,8,0,0,0,0,0,0,190,83187208000013,7.278488,43.701282,normal_payant,0.00,3.40,5.80,7.40,23.90,,155.8,ouvrage,Le parc comporte également 38 places non accessibles aux usagers horaires ou abonnés. le parc comporte également 38 places non accessibles aux usagers horaires ou abonnés,
06088-P-005,MARSHALL,06088,Place du Général Marshall. 06000. Nice,http://niceazurparking.fr/,tous,0,523,0,24,0,0,0,0,0,0,190,83187208000013,7.275795,43.703043,normal_payant,0.00,4.20,5.80,7.40,23.90,,135.4,ouvrage,Le parc comporte également 80 places non accessibles aux usagers horaires ou abonnés. le parc comporte également 80 places non accessibles aux usagers horaires ou abonnés,
06088-P-006,PALMEIRA,06088,47 Rue St-Philippe. 06000. Nice,http://niceazurparking.fr/,tous,0,286,0,3,0,0,0,0,0,0,190,83187208000013,7.254877,43.698482,normal_payant,0.00,4.20,5.80,7.40,23.90,,135.4,ouvrage,Le parc comporte également 60 places non accessibles aux usagers horaires ou abonnés. le parc comporte également 60 places non accessibles aux usagers horaires ou abonnés,
